Date,Cloud,Service,ResourceType,Team,Environment,CostCenter,Usage,Unit,UnitCost,DailyCost,TaggingStatus,TagStandard,HasRI,BusinessJustification
2023-01-01,AWS,EC2,t3.large,Engineering,Production,CC-ENG,22.93,Hours,0.0832,19.70574982054407,compliant,v1.0,False,
2023-01-01,AWS,EC2,m5.xlarge,Untagged,Untagged,Untagged,20.23,Hours,0.192,40.18211555585802,untagged,v1.0,False,
2023-01-01,AWS,RDS,rds_m5.large,Engineering,Untagged,Untagged,24.0,Hours,0.188,46.677306837489866,partial,v1.0,False,
2023-01-01,AWS,S3,s3_standard,Untagged,Untagged,Untagged,187.34,GB-Month,0.0008,1.5412318295397598,untagged,v1.0,False,
2023-01-01,AWS,EC2,p3.2xlarge,DataScience,Untagged,Untagged,21.16,Hours,3.06,670.2156698741469,partial,v1.0,False,
2023-01-01,AWS,EC2,m5.2xlarge,Untagged,Untagged,Untagged,21.47,Hours,0.384,85.31819056380812,untagged,v1.0,False,
2023-01-01,AWS,S3,s3_standard,Untagged,Untagged,Untagged,1002.85,GB-Month,0.0008,7.926335123347335,untagged,v1.0,False,
2023-01-01,AWS,S3,s3_glacier,Untagged,Untagged,Untagged,1021.51,GB-Month,0.0001,1.4311438417154911,untagged,v1.0,False,
2023-01-01,AWS,EC2,t3.medium,Untagged,Untagged,Untagged,23.8,Hours,0.0416,10.238182867656976,untagged,v1.0,False,
2023-01-01,AWS,S3,s3_standard,Marketing,Untagged,Untagged,207.37,GB-Month,0.0008,1.6513198173640282,partial,v1.0,False,
2023-01-01,AWS,RDS,rds_t3.small,Marketing,Production,Untagged,24.0,Hours,0.034,8.476775062468677,partial,v1.0,False,
2023-01-01,AWS,EC2,t3.small,Finance,Staging,Untagged,22.19,Hours,0.0208,4.733783476443548,partial,v1.0,False,
2023-01-01,AWS,RDS,rds_t3.medium,Finance,Staging,CC-FIN,24.0,Hours,0.068,16.843462137113086,compliant,v1.0,False,
2023-01-01,AWS,S3,s3_ia,Untagged,Untagged,Untagged,187.84,GB-Month,0.0004,0.7706159147698799,untagged,v1.0,False,
2023-01-01,AWS,EC2,t3.large,DevOps,Untagged,Untagged,19.4,Hours,0.0832,16.733374149288817,partial,v1.0,False,
2023-01-01,AWS,EC2,c5.2xlarge,DevOps,Production,Untagged,21.35,Hours,0.34,75.08000769615116,partial,v1.0,False,
2023-01-01,AWS,S3,s3_standard,DevOps,Development,Untagged,180.22,GB-Month,0.0008,1.4311438417154911,partial,v1.0,False,
2023-01-01,AWS,EC2,t3.medium,IT,Production,CC-IT,20.3,Hours,0.0416,8.696951038117215,compliant,v1.0,False,
2023-01-01,AWS,EC2,m5.large,IT,Production,CC-IT,21.32,Hours,0.0624,13.760998478033567,compliant,v1.0,True,
2023-01-01,AWS,RDS,rds_t3.small,IT,Staging,CC-IT,24.0,Hours,0.034,8.476775062468677,compliant,v1.0,False,
2023-01-01,AWS,S3,s3_standard,IT,Development,Untagged,208.53,GB-Month,0.0008,1.6513198173640282,partial,v1.0,False,
2023-01-02,AWS,EC2,t3.large,Engineering,Untagged,Untagged,22.09,Hours,0.0832,19.04522189359846,partial,v1.0,False,
2023-01-02,AWS,EC2,m5.xlarge,Untagged,Untagged,Untagged,22.55,Hours,0.192,44.8058110444773,untagged,v1.0,False,
2023-01-02,AWS,RDS,rds_m5.large,Engineering,Untagged,Untagged,24.0,Hours,0.188,46.78739482531413,partial,v1.0,False,
2023-01-02,AWS,S3,s3_standard,Untagged,Untagged,Untagged,191.85,GB-Month,0.0008,1.5412318295397598,untagged,v1.0,False,
2023-01-02,AWS,EC2,p3.2xlarge,DataScience,Staging,CC-DAT,22.53,Hours,3.06,714.2508650038543,compliant,v1.0,False,
2023-01-02,AWS,EC2,m5.2xlarge,DataScience,Development,Untagged,23.57,Hours,0.384,93.79496562627679,partial,v1.0,False,
2023-01-02,AWS,S3,s3_standard,DataScience,Production,Untagged,946.88,GB-Month,0.0008,7.485983172050261,partial,v1.0,False,
2023-01-02,AWS,S3,s3_glacier,DataScience,Untagged,Untagged,1003.52,GB-Month,0.0001,1.4311438417154911,partial,v1.0,False,
2023-01-02,AWS,EC2,t3.medium,Untagged,Untagged,Untagged,21.35,Hours,0.0416,9.247390977238558,untagged,v1.0,False,
2023-01-02,AWS,S3,s3_standard,Marketing,Staging,CC-MAR,194.81,GB-Month,0.0008,1.5412318295397598,compliant,v1.0,False,
2023-01-02,AWS,RDS,rds_t3.small,Marketing,Untagged,Untagged,24.0,Hours,0.034,8.476775062468677,partial,v1.0,False,
2023-01-02,AWS,EC2,t3.small,Untagged,Untagged,Untagged,22.44,Hours,0.0208,4.843871464267816,untagged,v1.0,False,
2023-01-02,AWS,RDS,rds_t3.medium,Untagged,Untagged,Untagged,24.0,Hours,0.068,16.953550124937355,untagged,v1.0,False,
2023-01-02,AWS,S3,s3_ia,Untagged,Untagged,Untagged,199.85,GB-Month,0.0004,0.8807039025941483,untagged,v1.0,False,
2023-01-02,AWS,EC2,t3.large,Untagged,Untagged,Untagged,20.87,Hours,0.0832,17.944342015355772,untagged,v1.0,False,
2023-01-02,AWS,EC2,c5.2xlarge,DevOps,Development,Untagged,20.73,Hours,0.34,72.98833592749004,partial,v1.0,False,
2023-01-02,AWS,S3,s3_standard,Untagged,Untagged,Untagged,213.7,GB-Month,0.0008,1.6513198173640282,untagged,v1.0,False,
2023-01-02,AWS,EC2,t3.medium,Untagged,Untagged,Untagged,20.16,Hours,0.0416,8.696951038117215,untagged,v1.0,False,
2023-01-02,AWS,EC2,m5.large,Untagged,Untagged,Untagged,22.05,Hours,0.096,21.90750957702944,untagged,v1.0,False,
2023-01-02,AWS,RDS,rds_t3.small,Untagged,Untagged,Untagged,24.0,Hours,0.034,8.476775062468677,untagged,v1.0,False,
2023-01-02,AWS,S3,s3_standard,IT,Production,Untagged,193.91,GB-Month,0.0008,1.5412318295397598,partial,v1.0,False,
2023-01-03,AWS,EC2,t3.large,Engineering,Production,Untagged,22.64,Hours,0.0832,19.485573844895534,partial,v1.0,False,
2023-01-03,AWS,EC2,m5.xlarge,Untagged,Untagged,Untagged,20.37,Hours,0.192,40.51237951933083,untagged,v1.0,False,
2023-01-03,AWS,RDS,rds_m5.large,Engineering,Development,Untagged,24.0,Hours,0.188,46.78739482531413,partial,v1.0,False,
2023-01-03,AWS,S3,s3_standard,Engineering,Production,CC-ENG,206.24,GB-Month,0.0008,1.6513198173640282,compliant,v1.0,False,
2023-01-03,AWS,EC2,p3.2xlarge,Untagged,Untagged,Untagged,23.59,Hours,3.06,748.4882292172018,untagged,v1.0,False,
